"Hot Spots - Class";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher";"0.008244207";"17.834 ms";"17.834 ms";"18567.067 ms";"18567.067 ms";"96"
"org.apache.xerces.jaxp.SAXParserFactoryImpl";"0.007826311";"16.93 ms";"16.93 ms";"121.54 ms";"121.54 ms";"9"
"org.apache.fop.fonts.AbstractCodePointMapping";"0.0067150025";"14.526 ms";"14.526 ms";"14.526 ms";"14.526 ms";"1"
"java.util.Hashtable";"0.005244969";"11.346 ms";"11.346 ms";"32.717 ms";"32.717 ms";"4"
"org.dacapo.harness.Fop";"0.0043028533";"9.308 ms";"9.308 ms";"22131.833 ms";"22131.833 ms";"96"
"org.apache.commons.cli.CommandLine";"0.0018051828";"3.905 ms";"3.905 ms";"3.905 ms";"3.905 ms";"3"
"javax.management.remote.rmi.RMIConnectionImpl";"0.0017755972";"3.841 ms";"3.841 ms";"24192.843 ms";"24192.843 ms";"61"
"java.io.File";"0.0015056287";"3.257 ms";"3.257 ms";"880.602 ms";"880.602 ms";"57"
"org.apache.fop.layoutmgr.PageBreaker";"0.0";"0.0 ms";"0.0 ms";"12151.413 ms";"12151.413 ms";"957"
"org.apache.fop.layoutmgr.AbstractPageSequenceLayoutManager";"0.0";"0.0 ms";"0.0 ms";"7503.868 ms";"7503.868 ms";"460"
"org.apache.fop.layoutmgr.PageSequenceLayoutManager";"0.0";"0.0 ms";"0.0 ms";"12467.577 ms";"12467.577 ms";"370"
"org.apache.xalan.transformer.TransformerIdentityImpl";"0.0";"0.0 ms";"0.0 ms";"18705.245 ms";"18705.245 ms";"354"
"org.apache.commons.logging.LogFactory";"0.0";"0.0 ms";"0.0 ms";"2829.973 ms";"2829.973 ms";"282"
"org.apache.fop.fo.FOTreeBuilder";"0.0";"0.0 ms";"0.0 ms";"17775.928 ms";"17775.928 ms";"259"
"org.apache.fop.layoutmgr.inline.ScaledBaselineTableFactory";"0.0";"0.0 ms";"0.0 ms";"2647.76 ms";"2647.76 ms";"234"
"java.io.PrintStream";"0.0";"0.0 ms";"0.0 ms";"347.534 ms";"347.534 ms";"201"
"org.apache.fop.cli.InputHandler";"0.0";"0.0 ms";"0.0 ms";"18821.965 ms";"18821.965 ms";"195"
"java.io.BufferedOutputStream";"0.0";"0.0 ms";"0.0 ms";"1229.189 ms";"1229.189 ms";"194"
"org.apache.xerces.parsers.XML11Configuration";"0.0";"0.0 ms";"0.0 ms";"18685.855 ms";"18685.855 ms";"193"
