sep=;
"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"cck.elf.ELFDataInputStream.read_1()";"0.0";"0.0 ms";"0.0 ms";"1109.835 ms";"1109.835 ms";"54"
"java.io.RandomAccessFile.read()";"0.0";"0.0 ms";"0.0 ms";"1109.835 ms";"1109.835 ms";"54"
"org.dacapo.harness.TeePrintStream.version()";"0.0";"0.0 ms";"0.0 ms";"878.291 ms";"878.291 ms";"52"
"java.io.WinNTFileSystem.rename()";"0.0";"0.0 ms";"0.0 ms";"869.87 ms";"869.87 ms";"51"
"java.io.File.renameTo()";"0.0";"0.0 ms";"0.0 ms";"869.87 ms";"869.87 ms";"51"
"avrora.syntax.elf.ELFParser.read()";"0.0";"0.0 ms";"0.0 ms";"1255.638 ms";"1255.638 ms";"50"
"avrora.Defaults$AutoProgramReader.read()";"0.0";"0.0 ms";"0.0 ms";"1255.638 ms";"1255.638 ms";"50"
"sun.reflect.GeneratedMethodAccessor42.invoke()";"0.0";"0.0 ms";"0.0 ms";"262161.92 ms";"1614.379 ms";"44"
"avrora.syntax.elf.ELFParser.loadSymbolTables()";"0.0";"0.0 ms";"0.0 ms";"890.906 ms";"890.906 ms";"42"
"cck.elf.ELFLoader.readSymbolTables()";"0.0";"0.0 ms";"0.0 ms";"890.906 ms";"890.906 ms";"42"
"cck.elf.ELFSymbolTable.read()";"0.0";"0.0 ms";"0.0 ms";"890.906 ms";"890.906 ms";"42"
"cck.elf.ELFDataInputStream.read_4()";"0.0";"0.0 ms";"0.0 ms";"859.033 ms";"859.033 ms";"42"
"cck.elf.ELFDataInputStream.read_Elf32_Word()";"0.0";"0.0 ms";"0.0 ms";"637.848 ms";"637.848 ms";"31"
"java.io.ObjectOutputStream.writeOrdinaryObject()";"0.0";"0.0 ms";"0.0 ms";"267.966 ms";"267.966 ms";"30"
"java.io.ObjectOutputStream.writeSerialData()";"0.0";"0.0 ms";"0.0 ms";"267.966 ms";"267.966 ms";"29"
"avrora.sim.AtmelInterpreter.readVolatile()";"0.0";"0.0 ms";"0.0 ms";"582.823 ms";"582.823 ms";"28"
"cck.text.Terminal.print()";"0.0";"0.0 ms";"0.0 ms";"581.971 ms";"581.971 ms";"28"
"avrora.sim.AtmelInterpreter.readSRAM()";"0.0";"0.0 ms";"0.0 ms";"582.823 ms";"582.823 ms";"28"
"java.io.ObjectOutputStream.writeObject()";"0.0";"0.0 ms";"0.0 ms";"267.966 ms";"267.966 ms";"26"
"cck.text.Terminal.outputColor()";"0.0";"0.0 ms";"0.0 ms";"510.485 ms";"510.485 ms";"25"
"avrora.sim.AtmelInterpreter.getIORegisterByte()";"0.0";"0.0 ms";"0.0 ms";"458.65 ms";"458.65 ms";"22"
